epoch,train_loss,valid_loss,train_ppl,valid_ppl,epoch_time_sec
1,5.654930,4.812420,285.696446,123.028955,23.61
2,4.780488,4.550582,119.162499,94.687511,24.20
3,4.501155,4.271811,90.121191,71.651276,24.32
4,4.226348,4.032868,68.466733,56.422488,24.22
5,4.012043,3.822939,55.259674,45.738448,24.02
6,3.854967,3.669095,47.227074,39.216398,23.78
7,3.725092,3.540721,41.475061,34.491782,23.59
8,3.607476,3.427931,36.872862,30.812836,24.25
9,3.492256,3.330843,32.859991,27.961907,23.93
10,3.380796,3.188948,29.394172,24.262888,24.13
