epoch,train_loss,valid_loss,train_ppl,valid_ppl,epoch_time_sec
1,5.640910,4.829605,281.719085,125.161557,29.62
2,4.792770,4.600768,120.635038,99.560728,28.66
3,4.519578,4.312525,91.796895,74.628655,28.57
4,4.259784,4.085502,70.794725,59.471802,28.82
5,4.062818,3.872533,58.137913,48.063998,28.60
6,3.911704,3.760940,49.984048,42.988830,29.39
7,3.793531,3.641069,44.412931,38.132574,29.41
8,3.682534,3.544938,39.746974,34.637535,28.85
9,3.576912,3.433766,35.762927,30.993136,28.98
10,3.476383,3.330872,32.342516,27.962703,29.27
