epoch,train_loss,valid_loss,train_ppl,valid_ppl,epoch_time_sec
1,6.429407,5.232207,619.806376,187.205519,19.67
2,5.047290,4.792680,155.600144,120.624181,18.73
3,4.786880,4.672102,119.926647,106.922288,18.83
4,4.568500,4.308210,96.399371,74.307336,19.06
5,4.311125,4.102926,74.524280,60.517084,17.88
6,4.127275,3.929950,62.008742,50.904439,18.44
7,3.982694,3.786033,53.661407,44.081171,19.09
8,3.854272,3.655711,47.194227,38.695036,19.10
9,3.742400,3.542417,42.199164,34.550338,19.59
10,3.637636,3.426096,38.001912,30.756344,18.86
